ticker,market,strike_pct,iv_pct,coupon_pa
AMD,US,90,75.07,42.13
AMD,US,80,75.4,33.7
AMD,US,70,76.01,25.21
AMD,US,60,77.39,17.65
LRCX,US,90,84.16,48.29
LRCX,US,80,84.78,40.14
LRCX,US,70,85.77,31.3
LRCX,US,60,87.25,22.84
DDOG,US,90,68.6,36.96
DDOG,US,80,69.54,28.81
DDOG,US,70,70.83,20.56
DDOG,US,60,72.26,13.29
AMAT,US,90,80.09,46.9
AMAT,US,80,80.61,38.41
AMAT,US,70,81.52,30.0
AMAT,US,60,83.29,21.96
KLAC,US,90,83.13,49.83
KLAC,US,80,85.06,41.96
KLAC,US,70,84.87,33.38
KLAC,US,60,87.54,25.27
TSM,US,90,52.95,25.98
TSM,US,80,53.44,17.94
TSM,US,70,54.52,11.03
TSM,US,60,57.08,6.43
CIEN,US,90,89.14,49.98
CIEN,US,80,88.61,42.32
CIEN,US,70,90.43,33.65
CIEN,US,60,90.97,23.85
ASML,US,90,60.31,31.08
ASML,US,80,60.9,22.61
ASML,US,70,61.65,14.93
ASML,US,60,63.21,8.97
NVDA,US,90,42.45,17.8
NVDA,US,80,43.84,10.91
NVDA,US,70,45.94,5.95
NVDA,US,60,48.99,2.94
TSLA,US,90,47.37,21.52
TSLA,US,80,48.63,14.32
TSLA,US,70,50.87,8.92
TSLA,US,60,54.56,5.39
CAT,US,90,47.53,22.25
CAT,US,80,48.83,14.18
CAT,US,70,50.7,7.75
CAT,US,60,51.85,3.69
MU,US,90,91.66,53.16
MU,US,80,92.29,45.36
MU,US,70,92.87,36.57
MU,US,60,93.91,27.63
